Abitanti,
Adamovo,
Adergas,
Adlešiči,
Adrijanci,
Ajba,
Ajbelj,
Ajdovščina,
Ajševica,
Ambrož pod Krvavcem,
Ambrus,
Andol,
Andraž nad Polzelo,
Andrejci,
Andrejčje,
Andrenci,
Anhovo,
Ankaran,
Anovec,
Anže,
Apače,
Apače,
Apnenik,
Apnenik pri Boštanju,
Apnenik pri Velikem Trnu,
Apno,
Arclin,
Arčelca,
Ardro pod Velikim Trnom,
Ardro pri Raki,
Arja vas,
Armeško,
Arnače,
Arnovo selo,
Artiče,
Artiža vas,
Artmanja vas,
Arto,
Artviže,
Avber,
Avče,
Avguštine,
Avsa,
Aženski Vrh,
Babiči,
Babinci,
Babna Brda,
Babna Gora,
Babna Gora,
Babna Gora,
Babna Polica,
Babna Reka,
Babni Vrt,
Babno Polje,
Bač,
Bač pri Materiji,
Bača pri Modreju,
Bača pri Podbrdu,
Bačne,
Bakovci,
Bakrc,
Balkovci,
Bane,
Banja Loka,
Banjšice,
Banovci,
Banuta,
Barbana,
Baredi,
Barislovci,
Barizoni,
Barka,
Bašelj,
Bate,
Batuje,
Bavdek,
Bavšica,
Beč,
Bečaje,
Bedenj,
Begunje na Gorenjskem,
Begunje pri Cerknici,
Beka,
Bela,
Bela,
Bela Cerkev,
Bela Peč,
Belavšek,
Belca,
Belčji Vrh,
Bele Vode,
Beli Grič,
Beli Potok pri Frankolovem,
Beli Potok pri Lembergu,
Belica,
Belica,
Belo,
Belo,
Belo,
Belovo,
Belski Vrh,
Belsko,
Belšak,
Belšinja vas,
Beltinci,
Belvedur,
Benečija,
Benedikt v Slovenskih goricah,
Benete,
Benica,
Bereča vas,
Beričevo,
Berinjak,
Berinjek,
Berkovci,
Berkovci,
Berkovski Prelogi,
Bertoki,
Besnica,
Betanja,
Betonovo,
Bevče,
Bevke,
Bezena,
Bezenškovo Bukovje,
Bezgarji,
Bezgovica,
Bezgovica,
Bezina,
Beznovci,
Bezovica,
Bezovica,
Bezovje nad Zrečami,
Bezovje pri Šentjurju,
Bezuljak,
Bič,
Bičje,
Biljana,
Bilje,
Binkelj,
Birčna vas,
Birna vas,
Biserjane,
Bistra,
Bistra,
Bistrica,
Bistrica,
Bistrica,
Bistrica,
Bistrica,
Bistrica ob Dravi,
Bistrica ob Sotli,
Bistrica pri Tržiču,
Bistričica,
Biš,
Bišče,
Bišečki Vrh,
Biška vas,
Bitiče,
Bitnja vas,
Bitnje,
Bizeljska vas,
Bizeljsko,
Blagovica,
Blaguš,
Blanca,
Blate,
Blatna Brezovica,
Blatni Vrh,
Blatnik pri Črmošnjicah,
Blatnik pri Črnomlju,
Blatno,
Blato,
Blato,
Blečji Vrh,
Bled,
Blejska Dobrava,
Bločice,
Blodnik,
Bloška Polica,
Boben,
Bobovek,
Bobovo pri Ponikvi,
Bobovo pri Šmarju,
Bočaji,
Bočkovo,
Bočna,
Bodešče,
Bodislavci,
Bodkovci,
Bodonci,
Bodovlje,
Bodrež,
Bodrež,
Bodrišna vas,
Boga vas,
Bogenšperk,
Boginja vas,
Bogneča vas,
Bogo,
Bogojina,
Boharina,
Bohinjska Bela,
Bohinjska Bistrica,
Bohinjska Češnjica,
Bohova,
Bojanci,
Bojanja vas,
Bojanji Vrh,
Bojsno,
Bojtina,
Bokrači,
Boldraž,
Bolečka vas,
Bolehnečici,
