Novak,
Horvat,
Kovačič,
Krajnc,
Zupančič,
Kovač,
Potočnik,
Mlakar,
Kos,
Vidmar,
Golob,
Turk,
Božič,
Kralj,
Korošec,
Zupan,
Bizjak,
Hribar,
Kotnik,
Kavčič,
Rozman,
Kastelic,
Oblak,
Žagar,
Petek,
Hočevar,
Kolar,
Košir,
Koren,
Klemenčič,
Zajc,
Medved,
Knez,
Petrič,
Zupanc,
Pirc,
Hrovat,
Pavlič,
Kuhar,
Lah,
Uršič,
Zorko,
Tomažič,
Sever,
Erjavec,
Babič,
Jerman,
Majcen,
Jereb,
Pušnik,
Kranjc,
Rupnik,
Breznik,
Lesjak,
Perko,
Furlan,
Dolenc,
Pečnik,
Vidic,
Pavlin,
Močnik,
Logar,
Jenko,
Ribič,
Tomšič,
Kovačević,
Žnidaršič,
Janežič,
Maček,
Marolt,
Jelen,
Černe,
Pintar,
Blatnik,
Gregorič,
Fras,
Zadravec,
Kokalj,
Hren,
Lešnik,
Mihelič,
Bezjak,
Petrović,
Leban,
Dolinar,
Cerar,
Jug,
Čeh,
Vidovič,
Rus,
Kobal,
Kocjančič,
Primožič,
Bogataj,
Kolarič,
Kolenc,
Lavrič,
Lazar,
Kodrič,
Nemec,
Kosi,
Mrak,
Debeljak,
Žižek,
Tavčar,
Ivančič,
Žibert,
Krivec,
Vovk,
Zver,
Jarc,
Likar,
Vodopivec,
Kramberger,
Miklavčič,
Toplak,
Hribernik,
Hodžić,
Gorenc,
Jovanović,
Skok,
Stopar,
Leskovar,
Meglič,
Eržen,
Marković,
Jazbec,
Petrovič,
Sitar,
Simonič,
Železnik,
Blažič,
Šinkovec,
Demšar,
Ilić,
Ramšak,
Kočevar,
Javornik,
Jamnik,
Filipič,
Nikolić,
Popović,
Hozjan,
Volk,
Bregar,
Bukovec,
Čuk,
Gorjup,
Pintarič,
Sušnik,
Podgoršek,
Kokol,
Koželj,
Rutar,
Kramar,
Mohorič,
Rajh,
Mavrič,
Gomboc,
Resnik,
Gajšek,
Šmid,
Lebar,
Godec,
Pogačnik,
Rožman,
Bergant,
Kumer,
Hafner,
Povše,
Rožič,
Bajc,
Ambrožič,
Zemljič,
Savić,
Cvetko,
Mlinar,
Bevc,
Zakrajšek,
Tratnik,
Kristan,
Markovič,
Kalan,
Pogačar,
Humar,
Zalokar,
Kaučič,
Zorman,
Mlinarič,
Trček,
Jerič,
Šuštar,
Babić,
Dolinšek,
Založnik,
Štrukelj,
Gorišek,
Pavlović,
Rojc,
Gruden,
